id,who,education,lockdown,politics,bussiness,travel,vaccine,covidstats,entertainment
040a4a8d19b58394,0.0007157534,0.0013061384,0.01650871,0.004183281,0.0052152798,0.0027015628,0.0037270894,0.0023918506,0.8462761
009846b7926aa0c2,0.022982301,0.011869495,0.003660838,0.016879436,0.0050875545,0.00666032,0.96966606,0.98762643,0.009232241
091505258ceb96a6,0.010227439,0.007901582,0.004228669,0.009564132,0.0021155616,0.006723285,0.9950799,0.017021917,0.008169583
002fb627b19c4c0b,0.14417428,0.3722908,0.0015993083,0.07986742,0.009516987,0.005798363,0.7821418,0.16244248,0.009918778
0789c333b3929449,0.0052823233,0.010585645,0.001079517,0.0036559433,0.0027807255,0.0014559431,0.0028756233,0.9981961,0.0077998014
0061e98945132728,0.022727493,0.0025171882,0.006020445,0.0033714846,0.0742151,0.017608497,0.99319243,0.04378301,0.004749183
00a475913f684e36,0.002556874,0.0055327136,0.96891534,0.005663626,0.028783787,0.01639871,0.003600006,0.061289504,0.004546643
07a75abb79cb5534,0.033278827,0.011125354,0.0029180995,0.010949865,0.008407486,0.011874828,0.916615,0.584496,0.0058294204
05da992c920a9667,0.0027245772,0.0013354714,0.0033677616,0.057870362,0.0009193505,0.0015978357,0.14460586,0.018972233,0.49252814
02a185db70b84e43,0.009515723,0.01887841,0.013489955,0.0941028,0.0042771366,0.00821113,0.002482167,0.8188106,0.035751007
070c41b6bce73beb,0.072542794,0.049309786,0.0023702146,0.030595355,0.015419752,0.018227885,0.78369,0.018697338,0.01326898
091cfd8b524183d1,0.009366622,0.0039950055,0.00053866295,0.0014428047,0.002012921,0.003292327,0.0028481972,0.9996059,0.012607604
003ea5201eae8fec,0.01283833,0.007037796,0.0914122,0.03284612,0.014845025,0.052025393,0.0036727919,0.61901355,0.014461657
0606c74e7baf5fa7,0.025057677,0.008897569,0.015244219,0.021479554,0.014136808,0.06021027,0.9447538,0.09604807,0.010266554
0961b69c21ef00db,0.015440172,0.0024723408,0.0014398949,0.008690624,0.004240059,0.0038701596,0.86551464,0.006832181,0.21922404
0102063eba917e84,0.005951092,0.0053669247,0.0021881713,0.005783242,0.00810931,0.004183295,0.009728939,0.9847579,0.0027956606
03ed01540c1dac47,0.05947207,0.013976086,0.0022983665,0.030666076,0.011389112,0.010342824,0.7850071,0.93578655,0.008581922
04dbc74942771d05,0.053726688,0.015454176,0.014109083,0.0032795162,0.007997371,0.6532587,0.02771104,0.4235938,0.05692418
00b8c894575e5fd0,0.0028884902,0.0014791208,0.6810187,0.0008299012,0.33145043,0.2516946,0.0065945406,0.010552655,0.019757224
04c19643eb1c8feb,0.016247489,0.016399994,0.001332984,0.0039479053,0.003029403,0.0020369561,0.054270774,0.9973646,0.009410181
091a47ad77dd026a,0.014928225,0.020509971,0.006164112,0.027857393,0.0022382876,0.0074116527,0.008155227,0.95864326,0.012610044
0648fb719dd69da6,0.037666045,0.0044849003,0.0055261403,0.08836908,0.04322561,0.019287903,0.9938607,0.018476026,0.0028409155
08e9c0567e92be47,0.006926315,0.008733767,0.0013431676,0.029291019,0.0012925885,0.0019009436,0.9818723,0.0024549542,0.024075527
00cd1030c4bba2db,0.0064464407,0.0035352546,0.0032253219,0.014844726,0.8966542,0.0043310537,0.9954949,0.007617251,0.0012769435
0001ea8717f6de06,0.029534828,0.061516255,0.0011242444,0.017442444,0.001899343,0.005655469,0.8656482,0.97226906,0.023314217
003c73565c434b4b,0.00480222,0.0053671175,0.0027066576,0.0018155973,0.0021158776,0.0026278044,0.00328428,0.9997825,0.013942319
